gen,child,eps,Rg,err
6,10,[1.357075 2.038241 1.147467 2.193117 0.614245 1.556644 0.607553 0.894359 1.082696 0.779398 3.423279 1.233031 1.375717 1.032744 1.804971],25.846488,10.153512
6,11,[3.187380 1.694551 0.711520 2.278442 2.184512 1.986377 0.995698 2.332218 1.637189 0.131453 3.057839 1.743069 0.462476 1.849426 2.663002],18.753120,17.246880
6,12,[2.414914 1.930449 0.733748 2.143881 2.332218 1.909178 1.356836 0.913480 1.784656 0.164436 5.033222 2.234226 1.375717 2.540392 0.979924],24.453236,11.546764
7,1,[2.038719 2.097992 0.196463 1.967734 1.384799 1.960325 0.583891 2.267925 0.781549 0.766252 2.726816 1.345841 1.264101 2.349904 1.658222],21.680219,14.319781
7,2,[2.180927 1.428059 1.497849 2.128107 1.541826 0.876195 0.119503 1.514340 2.677820 1.555688 3.693595 1.293499 0.329350 1.277964 2.114245],23.158910,12.841090
7,3,[2.360899 3.081023 1.366157 2.969407 1.121176 1.049952 1.127629 0.973709 0.972514 0.684034 3.939054 2.053776 1.353011 2.663002 0.383843],18.911131,17.088869
7,4,[1.704828 2.576482 1.808078 2.034895 0.515774 1.291826 1.352772 1.896272 1.672562 2.010038 2.167782 2.404159 2.007409 1.123805 0.493308],23.837767,12.162233
7,5,[1.586281 1.308795 1.276530 1.771511 1.095841 2.420411 0.712476 1.273184 1.029398 0.603967 3.608987 1.151769 0.641013 1.471319 0.943356],24.689437,11.310563
7,6,[2.028681 1.426386 0.740440 2.518403 1.254541 2.338671 1.376912 0.523184 2.005258 0.714627 4.363289 2.592495 0.566444 0.591300 1.273423],21.799594,14.200406
7,7,[2.222992 3.608987 0.795889 3.081023 1.200048 1.880975 1.978967 1.268642 1.111616 1.125239 3.277008 1.558317 2.398662 1.704350 0.362811],18.154464,17.845536
7,8,[1.439532 1.784656 0.721797 1.880975 1.067400 1.729446 1.663002 1.476816 2.645554 0.790631 4.122849 3.134321 2.179732 0.591300 0.800191],18.739952,17.260048
7,9,[0.723709 1.200765 1.916348 2.613528 1.262428 2.057600 1.409895 0.231119 0.784417 0.670411 3.990440 2.310229 2.022228 2.485660 1.706262],21.355619,14.644381
